Crops,(1960-61/ 1968-69),(1968-69/ 1975-76),(1975-76/ 1988-89),(1988-89/ 1995-96),(1995-96/ 2004-05),(2004-05/ 2014-15)
Paddy and wheat,31.34,33.99,36.04,36.12,37.21,37.27
Nutri-Cereals,25.52,21.24,19.79,15.28,14,12.67
Pulses,14.73,13.54,13.28,12.41,11.8,12.18
Oilseeds,9.48,9.85,10.52,13.39,13.16,13.87
Sugar,1.53,1.44,1.74,1.83,2.07,2.25
Cotton and jute,5.75,5.23,4.97,4.7,5.17,5.87
Condiments & spices,1.01,1.04,1.23,1.37,1.68,1.46
Fruits & vegetables,1.9,2.27,2.96,3.68,4.37,6.48
Other crops,8.75,11.4,9.48,11.22,10.54,7.95
